sample_ID,total_count,population,cell_population,percentage
sample00000,93214,b_cell,10908,0.11702104834037806
sample00001,100824,b_cell,6777,0.06721613901452035
sample00002,92822,b_cell,9794,0.10551377906099847
sample00003,93160,b_cell,10081,0.10821167883211678
sample00004,107903,b_cell,4372,0.0405178725336645
sample00005,105359,b_cell,15431,0.1464611471255422
sample00006,99774,b_cell,5897,0.059103574077414955
sample00007,98424,b_cell,10403,0.10569576526050557
sample00008,90353,b_cell,8829,0.09771673325733513
sample00009,95821,b_cell,7650,0.0798363615491385
sample00010,107537,b_cell,13203,0.12277634674577122
sample00011,89815,b_cell,10621,0.11825418916662027
sample00012,109579,b_cell,14128,0.1289298131941339
sample00013,109488,b_cell,10681,0.09755406985240392
sample00014,92904,b_cell,6113,0.06579910445190734
sample00015,102691,b_cell,8261,0.08044521915260344
sample00016,95824,b_cell,7433,0.07756929370512607
sample00017,98639,b_cell,3226,0.0327051166374355
sample00018,101123,b_cell,3578,0.03538265280895543
sample00019,97405,b_cell,8022,0.08235716852317643
sample00020,97228,b_cell,6382,0.06563952770806764
sample00021,100750,b_cell,10337,0.10260049627791563
sample00022,92670,b_cell,9563,0.10319412970756447
sample00023,104960,b_cell,6924,0.06596798780487804
sample00024,99969,b_cell,7552,0.07554341845972251
sample00025,95534,b_cell,11714,0.12261603198861139
sample00026,95777,b_cell,7936,0.08285914154755317
sample00027,93164,b_cell,8850,0.0949937744193036
sample00028,106062,b_cell,11386,0.10735230336972713
sample00029,97156,b_cell,5606,0.057701016921240064
sample00030,93972,b_cell,6413,0.06824373217554165
sample00031,106625,b_cell,7007,0.06571629542790153
sample00032,101357,b_cell,11118,0.10969148652781752
sample00033,93131,b_cell,9054,0.09721789737037077
sample00034,103870,b_cell,8350,0.08038894772311543
sample00035,94622,b_cell,5327,0.056297689755025256
sample00036,103532,b_cell,8635,0.0834041648958776
sample00037,92368,b_cell,8915,0.0965161094751429
sample00038,98897,b_cell,12062,0.12196527700536922
sample00039,107756,b_cell,14634,0.13580682282193102
sample00040,105943,b_cell,11007,0.10389549097156017
sample00041,91358,b_cell,11583,0.1267869261586287
sample00042,111631,b_cell,12118,0.10855407548082521
sample00043,104827,b_cell,4750,0.04531275339368674
sample00044,106034,b_cell,15793,0.14894279193466248
sample00045,104473,b_cell,13792,0.13201497037512083
sample00046,105731,b_cell,7726,0.07307223047166866
sample00047,93338,b_cell,8249,0.08837772397094432
sample00048,105178,b_cell,13648,0.12976097663009376
sample00049,104513,b_cell,11419,0.10925913522719662
sample00050,106504,b_cell,14113,0.13251145496882746
sample00051,88918,b_cell,9765,0.10982028385703682
sample00052,95942,b_cell,11122,0.11592420420670822
sample00053,99135,b_cell,11822,0.11925152569728148
sample00054,99486,b_cell,7782,0.07822206139557325
sample00055,101344,b_cell,11645,0.11490566782443953
sample00056,92361,b_cell,11022,0.11933608341182966
sample00057,111127,b_cell,15157,0.1363934957301106
sample00058,93201,b_cell,10510,0.11276703039666956
sample00059,108944,b_cell,17545,0.16104604200323103
sample00060,103534,b_cell,11035,0.10658334460177334
sample00061,111970,b_cell,4508,0.040260784138608556
sample00062,95286,b_cell,10066,0.10563986314883614
sample00063,93940,b_cell,7236,0.07702789014264425
sample00064,109577,b_cell,10199,0.09307610173667832
sample00065,92559,b_cell,8425,0.09102302315279984
sample00066,107284,b_cell,8052,0.07505313001006673
sample00067,107589,b_cell,11874,0.11036444246158994
sample00068,110245,b_cell,10501,0.0952514853281328
sample00069,110094,b_cell,11742,0.10665431358657147
sample00070,97532,b_cell,9131,0.09362055530492557
sample00071,96197,b_cell,5029,0.05227813757185775
sample00072,93613,b_cell,8730,0.09325627850832684
sample00073,104898,b_cell,10426,0.09939179011992602
sample00074,92232,b_cell,13166,0.14274872061757307
sample00075,104711,b_cell,14480,0.13828537593949058
sample00076,110097,b_cell,12385,0.1124917118540923
sample00077,105432,b_cell,9602,0.09107291903786327
sample00078,107869,b_cell,5623,0.05212804420176325
sample00079,99165,b_cell,5792,0.05840770433116523
sample00080,95727,b_cell,5519,0.05765353557512509
sample00081,93286,b_cell,9595,0.10285573397937525
sample00082,103389,b_cell,6068,0.05869096325527861
sample00083,88242,b_cell,7306,0.08279504091022416
sample00084,100815,b_cell,10469,0.10384367405644002
sample00085,102542,b_cell,13770,0.13428643872754578
sample00086,105610,b_cell,12479,0.11816115898115709
sample00087,91946,b_cell,5686,0.06184064559632828
sample00088,101732,b_cell,6883,0.06765816065741359
sample00089,107271,b_cell,14432,0.13453775950629712
sample00090,102290,b_cell,13492,0.13189950141753837
sample00091,102598,b_cell,4652,0.04534201446421957
sample00092,113429,b_cell,7510,0.06620881785081417
sample00093,109064,b_cell,8676,0.07954962224015256
sample00094,102270,b_cell,13462,0.13163195462990124
sample00095,93081,b_cell,4896,0.05259934895413672
sample00096,108158,b_cell,8717,0.08059505538194123
sample00097,100776,b_cell,11469,0.11380685877589902
sample00098,105304,b_cell,10482,0.09954037833320671
sample00099,107859,b_cell,12589,0.1167171955979566
sample00100,106648,b_cell,12923,0.12117433050783886
sample00101,100154,b_cell,18583,0.18554426183677136
sample00102,102212,b_cell,16339,0.159854028881149
sample00103,109022,b_cell,8845,0.08113041404487167
sample00104,110049,b_cell,7005,0.06365346345718725
sample00105,97807,b_cell,10654,0.10892880877646795
sample00106,93933,b_cell,10373,0.11042977441367784
sample00107,102371,b_cell,17623,0.17214836232917524
sample00108,97245,b_cell,4983,0.05124170908530001
sample00109,104944,b_cell,13509,0.1287257966153377
sample00110,97311,b_cell,11477,0.11794144546865205
sample00111,102821,b_cell,15992,0.15553243014559281
sample00112,99754,b_cell,8100,0.08119975138841551
sample00113,108308,b_cell,8777,0.08103741182553459
sample00114,106352,b_cell,13741,0.12920302392056568
sample00115,92639,b_cell,5722,0.06176664255874956
sample00116,99836,b_cell,6304,0.06314355543090669
